"","trust_government","health_satisfaction","transport_satisfaction","admin_satisfaction","social_satisfaction","financial_satisfaction","food_markets_satisfaction","non_food_markets_satisfaction"
"1",1,NA,NA,NA,NA,2,2,2
"2",1,NA,0,2,NA,2,2,2
"3",-2,NA,-2,NA,1,NA,-2,-2
"4",1,NA,NA,2,NA,2,0,0
"5",1,2,NA,NA,NA,2,2,2
"6",-2,1,-2,NA,1,0,-2,-2
"7",0,-1,NA,1,1,2,-1,0
"8",1,1,0,NA,NA,2,2,2
"9",-2,NA,2,NA,NA,1,2,2
"10",-2,NA,-2,-2,1,-1,-2,NA
"11",-2,2,NA,NA,NA,-1,0,0
"12",-2,-2,NA,NA,NA,NA,-2,-2
"13",-2,1,0,NA,2,1,-1,2
"14",1,0,1,2,-1,1,-1,0
"15",1,NA,0,NA,NA,2,2,2
"16",-2,1,1,NA,NA,1,2,2
"17",-1,NA,-1,NA,1,1,-1,1
"18",-1,NA,NA,NA,NA,2,-1,-1
"19",2,NA,0,1,NA,2,1,1
"20",-2,NA,2,NA,NA,2,1,1
"21",2,NA,-1,NA,2,1,NA,NA
"22",0,-1,2,0,NA,-2,2,2
"23",0,-1,1,2,1,1,1,1
"24",1,2,-1,NA,NA,0,2,2
"25",-1,-1,NA,1,NA,2,2,2
"26",-1,-1,0,NA,NA,2,2,2
"27",1,1,-2,2,-1,1,1,1
"28",2,NA,-1,NA,NA,1,1,1
"29",1,0,0,NA,NA,2,-1,-1
"30",-1,NA,-1,NA,NA,2,2,2
"31",-2,-1,-2,NA,NA,1,-1,-1
"32",1,NA,NA,NA,NA,2,2,2
"33",0,NA,-2,NA,NA,1,2,0
"34",-2,1,-2,NA,-1,-2,-2,-2
"35",-2,1,1,NA,NA,1,1,1
"36",0,2,NA,NA,NA,0,0,NA
"37",2,1,NA,NA,1,1,1,1
"38",-2,0,1,NA,NA,2,2,2
"39",0,-1,NA,NA,NA,2,-1,1
"40",-2,-2,NA,NA,NA,2,2,2
"41",-2,NA,-2,NA,NA,1,1,1
"42",1,2,NA,-1,NA,NA,1,-2
"43",2,NA,2,2,NA,-1,1,1
"44",-2,1,1,1,1,1,1,1
"45",1,NA,1,NA,NA,1,1,1
"46",-2,NA,NA,1,NA,2,2,2
"47",2,NA,-2,NA,NA,2,2,2
"48",1,NA,1,NA,NA,1,2,2
"49",2,-1,1,NA,NA,1,1,-1
"50",-2,-1,-1,NA,NA,1,2,2
"51",1,1,-1,NA,NA,2,1,1
"52",-2,1,1,NA,NA,2,1,1
